instrument_id,test_id,ibp,fbp,product
0aa8fd0d-019e-422b-bcfb-6f0803909220,07f331e0084459c67538d052aa742cebff8d6af6b261bb4e0f48ccdb5e63f65b,149.242,231.084,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,302f3b4e52c7306fb0cc399a71ea718da66f17b3f960e2c0db840b777ac67e2f,149.084,233.053,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,7b9ef0c2f74c917b648ef9c447ad2d46787db1c8412191a84794c27d32853bd9,149.654,230.524,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,24e9c745703859996ce43b8f326ce5e5acc3af7820ca433fff3064ae7fbfc08e,149.287,232.577,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,6269c50a7cc23301224e4e460162f1aaf104e3b1916a5a7069fd00e67fc36ca3,149.909,231.852,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,5f0fb9f1d210b194f491aa6786c7b06eb904d2b3a774068e46314e76f030ed3b,150.572,229.927,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,9aa1f898f19bc47bc230d7c3860d72c2e52aa1b5e137f69365cb6e388ae0a2b1,149.519,228.016,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,ac6d30910496164e7e3414d49b019f56546e2e88eba36614f3414f657326ab0a,149.874,229.531,G4 MOD-D1655
c0983ff3-7d72-4887-b98f-c6801a6c466d,0e10a3f1c12f9cec117d1baeff6e2929bd06b96c3d4eae27a6f275b5b42f12ce,152.124,230.089,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,a2f181cf86362ea37ad47776b2bb2677719f16d962e8a7098e90256a5c12601b,149.206,227.42,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,d34c37e20adad37e7514b48d2d21f8f4d58f2f23334a67447dac83a91f7333e2,148.868,228.991,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,f0172e8a7f3f19b787d9357202cc4482fbe3d17866e5540a7a3e8cb3320f6456,149.39,230.651,G4 MOD-D1655
c0983ff3-7d72-4887-b98f-c6801a6c466d,dd5168e77c6420827ecbc59b70fb5a62a0752c3625c99f2515df0843b41f4c5d,150.658,230.278,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,2ed69694ddaa36077926bfe6122aeb6db28298defce81d7e7b6ddf59885ce300,151.121,230.825,G4 MOD-D1655
c0983ff3-7d72-4887-b98f-c6801a6c466d,71a5fde514b645c10dcdf32aa63b3e6732c45e69da5254dc72cf21fd9ac49e9e,152.292,230.415,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,3b8e305658b9736a7d361831835298f92d60f80e7614ed62dfe5acb9c39948b6,148.07,233.318,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,d916cf3e9582263168c17af729d99d5ec7509d7ef6848da0990267c85cf6c885,148.433,233.444,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,9cc68e65de862540f9b830540aa5c8430a3481834a9fd4fc2bbfaccf45215e68,150.148,229.373,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,8bcc6742966b2e1de4b1792ba17bfe40d0331251949bc4dd2bec070e79d6e904,149.92,228.218,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,83754d3d6e0a8be67eb8aacf98ce581eb658504c444bd42528b4cd02139deb15,148.622,233.357,G4 MOD-D1655
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,6e03c052c0a37d492290f885cf133de6306494454a018af46b52d998f77ca411,147.47,237.174,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,6e249acdf6f3f419ad18b55560893aa6b5c699e28e196f7565e042cf6d808145,151.415,229.663,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,c405c98e79819e8f79cbcaff9427bc792dc3348daee7400e8dc4fb90749b13ff,146.904,231.894,G4 MOD-D1655
0aa8fd0d-019e-422b-bcfb-6f0803909220,2c716c5db9dfbe897b2fc861872c070deec5b0d27b6a873287a39426c716d9ee,147.55,227.141,G4 MOD-D1655
