instrument_id,test_id,ibp,fbp,product
62548191-5d9a-41c7-aae5-5788aec74ee4,252a3a0fbb1e858bbbc8f211cdfea16f0ce696586d019f34e43721a111889cd6,75.583,179.427,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,beeb2f0cdeabf579f904b531c6d22609a0fb9a145d151545906958029fbb9f47,32.04,122.268,NAFTA BRASKEM
31918705-0179-47c5-ba12-afb2366af552,ee6f87812edf1bafbe5faefc918b28235d87e1805aa9fbe951c5430c44418e81,36.876,129.938,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,f349e53cc4c5a65ca1164dd1918562887a192fd669f937e4c22489df5eb7fc25,34.952,135.272,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,e1b83ce426962961c869145963e4c5be242bb1257661ac6a62fc91976bd594ce,50.2,155.395,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,ad7b947703857e03de617f26f67bcc9274bdf62ec45cec7565cc79087c9056cd,50.2,155.395,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,9a807b793e98b1685af8aecbd4eae3d631cb86863ca0b338ffa310fe365503c4,37.304,118.575,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,b84648703ec0b3816b13c889fad97f8218367dde987ead52498474fc201d5d59,38.828,125.566,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,8d92e9a056aa67f0863e1a73fa946e5e9b3f58dc1517882f49d563d96984bd0e,39.941,128.198,NAFTA BRASKEM
62548191-5d9a-41c7-aae5-5788aec74ee4,00111de88228e7caa4c4d37aa03c03fae8ec83848faf15413c317c65097f58b9,39.941,128.198,NAFTA BRASKEM
