short_id,downtime_start_week,error_week,error_code,error_message,error_category,prior_error_week,prior_error_code,prior_error_message,prior_error_category
OD16,2024-06-03,2024-05-27,39.0,max. heating temp. r,Heating System Issue,2024-05-27,0.0,fire,Safety Hazard
OD16,2024-09-16,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-09-23,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-09-30,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-10-07,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-10-14,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-10-21,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-10-28,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-11-04,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-11-11,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-11-18,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-11-25,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-12-02,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-12-09,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-12-16,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-12-23,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2024-12-30,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-01-06,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-01-13,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-01-20,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-01-27,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-02-03,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-02-10,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-02-17,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
OD16,2025-02-24,2024-08-12,39.0,max. heating temp. r,Heating System Issue,2024-08-12,76.0,no error message,Unknown Issue
