instrument_id,instrument_type,test_count,error_count,critical_error_count,error_rate,critical_error_rate,short_id,display_id,downtime_hours
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,13789.79361111111
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,863.1666666666666
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,13056.585833333333
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4433.065277777778
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,11494.379722222222
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4710.587777777778
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4654.239444444444
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,1530.3158333333333
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,7750.265
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,10818.756388888889
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,3143.7869444444445
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,7657.233055555555
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4197.498888888889
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,12142.205555555556
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,744.7616666666667
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,13378.427222222223
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,7258.225555555556
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4318.321388888889
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,8959.075
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4715.404166666666
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4248.294166666667
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,14041.333055555555
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,7176.217777777778
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,8301.653333333334
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,9197.296388888888
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,6986.826388888889
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,14037.668333333333
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,17213.843055555557
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,1989.9725
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,3661.2969444444443
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,572.7569444444445
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4700.712222222222
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,2375.8869444444445
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,16006.051111111112
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,11463.009166666667
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4493.105277777778
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,4216.064722222222
nan,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02,OF02,14934.448333333334
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,2900.2697222222223
nan,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03,OF03,4719.977222222222
