short_id,instrument_id,week,downtime_hours,test_count,error_count,error_rate,error_outside_test,critical_error_count,critical_error_rate,critical_error_outside_test
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-04-15,90.14416666666666,37.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-04-22,139.8775,43.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-04-29,38.80638888888889,13.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-05-06,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-05-13,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-05-20,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-05-27,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-06-03,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-06-10,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-06-17,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-06-24,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-07-01,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-07-08,170.0,0.0,1.0,-1.1,True,1.0,-1.1,True
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-07-15,170.0,0.0,1.0,-1.1,True,1.0,-1.1,True
CPP01,,2024-07-22,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-07-29,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,,2024-08-05,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-08-12,170.0,1.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-08-19,170.0,0.0,1.0,-1.1,True,1.0,-1.1,True
CPP01,,2024-08-26,170.0,0.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-09-02,38.11972222222222,9.0,1.0,0.1111111111111111,False,1.0,0.1111111111111111,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-09-09,160.27722222222224,49.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-09-16,165.83694444444444,52.0,1.0,0.019230769230769232,False,1.0,0.019230769230769232,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-09-23,160.4438888888889,50.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-09-30,166.13055555555556,44.0,1.0,0.022727272727272728,False,1.0,0.022727272727272728,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-10-07,159.5286111111111,36.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-10-14,164.565,57.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-10-21,167.44472222222225,49.0,1.0,0.02040816326530612,False,1.0,0.02040816326530612,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-10-28,160.03666666666666,51.0,1.0,0.0196078431372549,False,1.0,0.0196078431372549,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-11-04,159.80944444444444,37.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-11-11,163.76944444444445,49.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-11-18,159.80694444444444,52.0,1.0,0.019230769230769232,False,1.0,0.019230769230769232,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-11-25,159.75805555555556,54.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-12-02,161.72027777777777,37.0,1.0,0.02702702702702703,False,1.0,0.02702702702702703,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-12-09,156.73111111111112,45.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-12-16,166.57833333333335,56.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-12-23,165.65944444444443,48.0,1.0,0.020833333333333332,False,1.0,0.020833333333333332,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2024-12-30,163.8975,47.0,1.0,0.02127659574468085,False,1.0,0.02127659574468085,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-01-06,158.2252777777778,38.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-01-13,158.84166666666667,52.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-01-20,167.61944444444444,52.0,1.0,0.019230769230769232,False,1.0,0.019230769230769232,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-01-27,155.0075,53.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-02-03,164.5025,37.0,1.0,0.02702702702702703,False,1.0,0.02702702702702703,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-02-10,160.27722222222224,49.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-02-17,165.83694444444444,52.0,1.0,0.019230769230769232,False,1.0,0.019230769230769232,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-02-24,160.4438888888889,50.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-03-03,166.13055555555556,44.0,1.0,0.022727272727272728,False,1.0,0.022727272727272728,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-03-10,159.6638888888889,36.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-03-17,157.83833333333334,54.0,0.0,0.0,False,0.0,0.0,False
CPP01,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,2025-03-24,109.39888888888888,36.0,1.0,0.027777777777777776,False,1.0,0.027777777777777776,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-04-15,95.64333333333332,39.0,1.0,0.02564102564102564,False,1.0,0.02564102564102564,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-04-22,139.8775,43.0,0.0,0.0,False,0.0,0.0,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-04-29,159.42166666666665,52.0,1.0,0.019230769230769232,False,1.0,0.019230769230769232,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-05-06,165.28222222222223,53.0,1.0,0.018867924528301886,False,1.0,0.018867924528301886,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-05-13,159.79305555555555,41.0,1.0,0.024390243902439025,False,1.0,0.024390243902439025,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-05-20,137.8738888888889,34.0,0.0,0.0,False,0.0,0.0,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-05-27,27.197777777777777,10.0,0.0,0.0,False,0.0,0.0,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-06-03,161.1327777777778,52.0,0.0,0.0,False,0.0,0.0,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-06-10,163.39833333333334,52.0,0.0,0.0,False,0.0,0.0,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-06-17,164.65333333333334,50.0,0.0,0.0,False,0.0,0.0,False
CPP02,40099742-8937-46e4-9d96-9ea230115e6b,2024-06-24,28.87444444444445,11.0,0.0,0.0,False,0.0,0.0,False
CPP02,,2024-07-01,170.0,0.0,0.0,0.0,False,0.0,0.0,False
