product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration,merged_product,category
176756-112CCC,35.9975,0.2722361107568168,175.704,0.6180113267570492,96.9855,0.2425376259469832,35.96666666666667,0.1414213562373115,176756-112CCC,Heavy Naphtha
176756-3tttttttt,34.639,,172.917,,89.043,,32.61666666666667,,176756-3tttttttt,Light Naphtha
176756-99a,34.14566666666666,1.4413418516553698,146.24033333333333,13.444633923366364,97.12333333333332,1.650686624812036,34.22777777777778,1.185834602170011,176756-99a,Heavy Naphtha
176760-26GGG,33.997,,130.107,,77.145,,34.03333333333333,,176760-26GGG,Light Naphtha
176765-1a,27.631,,42.978,,42.035,,33.81666666666667,,176765-1a,Light Naphtha
176767-21qqqqq,62.165,,163.388,,137.269,,34.81666666666667,,176767-21qqqqq,Heavy Naphtha
176791-2oooop,31.91,,134.412,,92.241,,37.15,,176791-2oooop,Heavy Naphtha
176800-6,35.494,,176.721,,122.702,,37.68333333333333,,176800-6,Heavy Naphtha
176829-9ttrttt,27.489,,79.393,,47.658,,36.766666666666666,,176829-9ttrttt,Light Naphtha
176854-888,27.46,,63.401,,44.163,,33.38333333333333,,176854-888,Light Naphtha
176869-4zzz,46.546,,263.409,,149.918,,25.9,,176869-4zzz,Heavy Naphtha
176871-777,60.543,,121.281,,93.724,,35.083333333333336,,176871-777,Heavy Naphtha
176918-10,33.934,,155.748,,93.634,,36.71666666666667,,176918-10,Heavy Naphtha
176942-6,26.888,,69.527,,45.657,,35.75,,176942-6,Light Naphtha
176952-9tttttt,33.155,,131.654,,84.171,,35.3,,176952-9tttttt,Light Naphtha
176952°26JJJ,33.777,,147.496,,81.99,,34.5,,176952°26JJJ,Light Naphtha
176957-3,35.627,,130.848,,79.532,,37.766666666666666,,176957-3,Light Naphtha
176991-20hhhhhh,156.03,,235.697,,200.096,,41.766666666666666,,176991-20hhhhhh,Reformulated Gasoline
176991=16tttttttt,154.457,,237.22,,198.85,,41.93333333333333,,176991=16tttttttt,Reformulated Gasoline
177069-18 opt,32.368,,153.522,,83.867,,35.55,,177069-18 opt,Light Naphtha
177073-111,25.879,,43.942,,40.239,,31.4,,177073-111,Light Naphtha
177190-6,60.025,,114.796,,93.024,,37.45,,177190-6,Heavy Naphtha
177191-13a,33.598,,89.8,,56.311,,34.56666666666667,,177191-13a,Light Naphtha
177193-5yuuuuyuu,159.249,,228.02,,199.417,,41.73333333333333,,177193-5yuuuuyuu,Reformulated Gasoline
177197-7aaaaaaa,27.243,,76.437,,47.108,,33.766666666666666,,177197-7aaaaaaa,Light Naphtha
177211-12ccccc,103.024,,126.25,,125.221,,38.35,,177211-12ccccc,Heavy Naphtha
177211-6444,27.131,0.0,82.719,0.0,48.032,0.0,35.4,0.0,177211-6444,Light Naphtha
177236-17opt,156.552,0.0,237.806,0.0,204.368,0.0,41.81666666666667,0.0,177236-17opt,Reformulated Gasoline
177236-21ggggg,157.658,0.0,237.75,0.0,204.851,0.0,41.11666666666667,0.0,177236-21ggggg,Reformulated Gasoline
177252-6,28.003,0.0,52.963,0.0,43.723,0.0,35.516666666666666,0.0,177252-6,Light Naphtha
177259_7,43.169,,149.768,,91.133,,35.55,,177259_7,Heavy Naphtha
177291-20,28.043,0.0,74.388,0.0,47.902,0.0,34.766666666666666,0.0,177291-20,Light Naphtha
177322-27hhhhh,33.742,0.0,128.229,0.0,76.6748,0.0026832815729995,34.6,0.0,177322-27hhhhh,Light Naphtha
177427-7,28.655,0.0,51.507,0.0,44.547,0.0,69.4,0.0,177427-7,Light Naphtha
"177480-8;,llkkhk",222.481,0.0,341.676,0.0,288.256,0.0039999999999938,38.583333333333336,0.0,"177480-8;,llkkhk",Diesel
177492-110dddd,35.102,0.0,140.417,0.0,99.6845,0.0030000000000024,36.016666666666666,0.0,177492-110dddd,Heavy Naphtha
177492-111ddddd,35.242,0.0,137.662,0.0,98.1015,0.0010000000000047,36.266666666666666,0.0,177492-111ddddd,Heavy Naphtha
177492-20qqqqq,34.864,0.0,132.674,0.0,99.31525,0.0034999999999961,33.516666666666666,0.0,177492-20qqqqq,Heavy Naphtha
177511+7EEEEE,185.408,0.0,314.746,0.0,254.6045,0.0030000000000024,42.1,0.0,177511+7EEEEE,Jet Fuel / Kerosene
177558-10qqqqq,27.143,0.0,73.679,0.0,46.7748,0.0043817804600373,35.53333333333333,0.0,177558-10qqqqq,Light Naphtha
177593-2GGG,47.351,0.0,303.129,0.0,168.45524999999998,0.0034999999999977,33.28333333333333,0.0,177593-2GGG,Reformulated Gasoline
177626-19ttrtr,93.484,0.0,168.216,0.0,135.79525,0.0035000000000032,39.06666666666667,0.0,177626-19ttrtr,Heavy Naphtha
177640-1b,36.319,,145.993,,85.11,,34.71666666666667,,177640-1b,Light Naphtha
177680-666,26.759,0.0,50.838,0.0,42.14675,0.0044999999999989,32.31666666666667,0.0,177680-666,Light Naphtha
1777024-6eeeeeee,194.335,,339.661,,285.169,,38.16666666666666,,1777024-6eeeeeee,Diesel
177712_5ddddd,185.726,0.0,319.997,0.0,255.7615,0.0010000000000095,42.41666666666666,0.0,177712_5ddddd,Jet Fuel / Kerosene
177730-6aaaa,39.924,0.0,145.891,0.0,95.5906,0.0005477225575008,36.016666666666666,0.0,177730-6aaaa,Heavy Naphtha
177731-1212,27.154000000000003,0.0,54.77,0.0,43.0542,0.0038340579025391,32.416666666666664,0.0,177731-1212,Light Naphtha
177744-82b,58.045,0.0,145.391,0.0,112.157,0.0,36.766666666666666,0.0,177744-82b,Heavy Naphtha
177750-10222,27.46,0.0,83.794,0.0,49.206,0.0,34.516666666666666,0.0,177750-10222,Light Naphtha
177756-20,34.657,0.0,154.59,0.0,67.396,0.0039999999999989,34.31666666666667,0.0,177756-20,Light Naphtha
177766-1aaaaa,35.545,0.0,157.26,0.0,65.81,0.0,34.63333333333333,0.0,177766-1aaaaa,Light Naphtha
177811-4fff,35.508,0.0,149.422,0.0,81.15,0.0,33.25,0.0,177811-4fff,Light Naphtha
177832-6a,29.337,0.0,66.5,0.0,47.3345,0.0030000000000001,33.416666666666664,0.0,177832-6a,Light Naphtha
177843-6a,39.079,0.0,143.308,0.0,115.43525,0.0034999999999942,33.516666666666666,0.0,177843-6a,Heavy Naphtha
177874-5,32.175,0.0,69.557,0.0,51.89,0.0,34.483333333333334,0.0,177874-5,Light Naphtha
177952-6,27.785,0.0,70.418,0.0,48.843,0.0019999999999994,34.11666666666667,0.0,177952-6,Light Naphtha
178083-1a,35.149,0.0,134.081,0.0,85.73240000000001,0.0013416407864983,36.18333333333333,0.0,178083-1a,Light Naphtha
178493-10GGG,36.551,0.0,147.075,0.0,96.373,0.0019999999999929,34.88333333333333,0.0,178493-10GGG,Heavy Naphtha
178500-18rrrrr,191.704,,342.183,,285.555,,39.9,,178500-18rrrrr,Diesel
178607-1111,26.339,0.0,48.593,0.0,41.7515,0.0010000000000006,34.1,0.0,178607-1111,Light Naphtha
178610-8vcx,28.062,0.0,82.494,0.0,49.172666666666665,0.0023094010767561,36.0,0.0,178610-8vcx,Light Naphtha
178643-9aaaa,40.277,0.0,145.613,0.0,74.26266666666668,0.002309401076751,33.516666666666666,0.0,178643-9aaaa,Light Naphtha
178706-12,27.778,0.0,77.345,0.0,48.892,0.0017320508075684,67.78333333333333,0.0,178706-12,Light Naphtha
178738-1aaaaa,153.784,0.0,294.254,0.0,206.804,0.0034641016151337,43.04999999999999,0.0,178738-1aaaaa,Reformulated Gasoline
178753-8qqqqq,27.147,0.0,85.41699999999999,0.0,48.86266666666666,0.0023094010767567,32.81666666666667,0.0,178753-8qqqqq,Light Naphtha
178761-6qqqq,190.547,0.0,316.413,0.0,260.64466666666664,0.004041451884322,41.06666666666667,0.0,178761-6qqqq,Jet Fuel / Kerosene
178915-11aaaaaa',28.229,,100.452,,51.829,,35.71666666666667,,178915-11aaaaaa',Light Naphtha
178915-18a,27.863,0.0,76.345,0.0,48.5932,0.0017888543819983,34.46666666666667,0.0,178915-18a,Light Naphtha
178919-3bkkp,36.153,0.0,141.72,0.0,76.47133333333333,0.0011547005383786,33.85,0.0,178919-3bkkp,Light Naphtha
178931-6PPO,34.977,0.0,156.483,0.0,93.71533333333332,0.0046188021535226,31.866666666666664,0.0,178931-6PPO,Heavy Naphtha
178948-111,27.094,,40.599,,41.337,,35.05,,178948-111,Light Naphtha
178960-17aaa24,221.21,0.0,343.22700000000003,0.0,289.418,0.0,39.25,0.0,178960-17aaa24,Diesel
178974-6a,27.59,,100.968,,48.131,,33.75,,178974-6a,Light Naphtha
178980-14,27.902,0.0,76.97,0.0,48.87199999999999,0.0017320508075699,32.583333333333336,0.0,178980-14,Light Naphtha
179012-25a,51.716,0.0,152.034,0.0,95.516,0.0,36.6,0.0,179012-25a,Heavy Naphtha
179015-6a,39.377,,128.022,,86.556,,35.7,,179015-6a,Light Naphtha
179049=19qqqqq',28.043,0.0,104.789,0.0,48.85,0.0,34.7,0.0,179049=19qqqqq',Light Naphtha
179053-3ttttt;,31.829,0.0,158.54,0.0,85.657,0.0,32.56666666666667,0.0,179053-3ttttt;,Light Naphtha
1790640-4uuuu-,34.879,0.0,156.482,0.0,66.48,0.0,33.65,0.0,1790640-4uuuu-,Light Naphtha
179081-8aaaa3,27.964,0.0,96.69599999999998,0.0,47.522,0.0,32.4,0.0,179081-8aaaa3,Light Naphtha
179100-4a,36.648,0.0,104.40500000000002,0.0,70.302,0.0,35.96666666666667,0.0,179100-4a,Light Naphtha
179109-21kjf,35.762,0.0,151.02,0.0,67.46225,0.0015000000000012,36.05,0.0,179109-21kjf,Light Naphtha
179169-21 optimze,29.137,0.0513141584471859,88.752,14.549702009712384,47.8545,0.478674956819043,34.69166666666666,0.953231762820984,179169-21 optimze,Light Naphtha
179271-25qqqq3,39.665,0.0,142.087,0.0,84.27199999999999,0.0023094010767599,36.3,0.0,179271-25qqqq3,Light Naphtha
179306-49,34.171,1.1337856940356947,149.806,6.512421208736436,98.712,6.056351178721389,35.8,1.241504463678376,179306-49,Heavy Naphtha
179317-6dddds,27.448,0.0,87.217,0.0,45.872,0.0023094010767613,32.21666666666667,0.0,179317-6dddds,Light Naphtha
179325-4eeeeer,27.9,0.0,75.651,0.0,48.883,0.0034641016151378,35.46666666666667,0.0,179325-4eeeeer,Light Naphtha
179328-6tttrf,33.557,0.0,120.862,0.0,64.162,0.0023094010767599,37.15,0.0,179328-6tttrf,Light Naphtha
179362-1tfgvb,25.215,0.0,39.145,0.0,38.7705,0.0005773502691889,36.0,0.0,179362-1tfgvb,Light Naphtha
179368-2,31.514,0.0,161.584,0.0,110.893,0.0034641016151378,36.0,0.0,179368-2,Heavy Naphtha
179374-2111,30.527,0.0,99.853,0.0,53.17525,0.0034999999999999,32.016666666666666,0.0,179374-2111,Light Naphtha
179398-27werdry,41.772,0.0,44.505,0.0,54.673333333333325,0.0028867513459455,36.2,0.0,179398-27werdry,Light Naphtha
179398-2ertret,39.9,0.0,123.801,0.0,87.02,0.0,36.36666666666667,0.0,179398-2ertret,Light Naphtha
179398_16BBB,40.617,0.0,146.682,0.0,90.67533333333334,0.0046188021535082,35.06666666666667,0.0,179398_16BBB,Heavy Naphtha
179412-19,37.197,0.0,163.258,0.0,103.95466666666664,0.0040414518843282,33.86666666666667,0.0,179412-19,Heavy Naphtha
179526-17ggggsfhc,33.787,0.0,127.699,0.0,65.984,0.0034641016151368,70.06666666666666,0.0,179526-17ggggsfhc,Light Naphtha
179541-1qQQE,26.301,0.0,38.008,0.0,39.830666666666666,0.0005773502691928,34.083333333333336,0.0,179541-1qQQE,Light Naphtha
179552-3a,25.176,0.0,126.057,0.0,67.12,0.0,32.016666666666666,0.0,179552-3a,Light Naphtha
179562-6a,190.418,0.0,317.256,0.0,260.80266666666665,0.0023094010767203,42.96666666666667,0.0,179562-6a,Jet Fuel / Kerosene
179934-9a,27.996,0.0,45.607,0.0,42.9405,0.0007071067811899,33.95,0.0,179934-9a,Light Naphtha
179936-6 ez,28.883,0.0,111.634,0.0,50.731,0.0014142135623723,33.666666666666664,0.0,179936-6 ez,Light Naphtha
179963-11 ez,27.124,0.0,82.621,0.0,48.684,0.0056568542494917,32.6,0.0,179963-11 ez,Light Naphtha
179972-17ttstfg,26.891,0.0,79.033,0.0,48.186,0.0,34.18333333333333,0.0,179972-17ttstfg,Light Naphtha
179974°8GUKHJ,29.348,0.0,109.671,0.0,50.0135,0.0049497474683093,27.566666666666663,0.0,179974°8GUKHJ,Light Naphtha
179974°8JILK,28.422,0.0,99.839,0.0,47.7815,0.0021213203435597,32.36666666666667,0.0,179974°8JILK,Light Naphtha
180006°4AAAA,32.489,0.0,176.689,0.0,108.274,0.0056568542494992,35.516666666666666,0.0,180006°4AAAA,Heavy Naphtha
180083-14qqqqq,31.936,0.0,72.384,0.0,51.494,0.0,35.06666666666667,0.0,180083-14qqqqq,Light Naphtha
180095_2A,99.017,0.0,121.212,0.0,120.173,0.0,38.71666666666667,0.0,180095_2A,Heavy Naphtha
180096_1BAGELS,34.632,0.0,185.669,0.0,125.533,0.0,31.53333333333333,0.0,180096_1BAGELS,Heavy Naphtha
180129-4a,90.082,0.0,150.989,0.0,103.429,0.0,78.76666666666667,0.0,180129-4a,Heavy Naphtha
180131-1spkopt,29.008,0.0,139.134,0.0,62.031,0.0,34.95,0.0,180131-1spkopt,Light Naphtha
180167-11,27.217,0.0,79.007,0.0,48.69533333333334,0.0046188021535175,35.766666666666666,0.0,180167-11,Light Naphtha
180190-7wwwwweee,34.431,0.0,156.855,0.0,66.183,0.0,34.28333333333333,0.0,180190-7wwwwweee,Light Naphtha
180210-14,32.013,0.0,59.045,0.0,50.304,0.0034641016151368,36.63333333333333,0.0,180210-14,Light Naphtha
180210-22 ez,31.673,0.0,60.64000000000001,0.0,49.78466666666666,0.0040414518843261,34.95,0.0,180210-22 ez,Light Naphtha
180309-12,41.272,0.0,44.237,0.0,54.06333333333333,0.0028867513459455,36.833333333333336,0.0,180309-12,Light Naphtha
180313-6 ez,215.986,0.0,338.982,0.0,284.8306666666667,0.0005773502692087,38.25,0.0,180313-6 ez,Diesel
180349--1qqqstu,139.07,0.0,283.689,0.0,207.85533333333333,0.0046188021535226,24.433333333333334,0.0,180349--1qqqstu,Reformulated Gasoline
180378-148GGG,33.891,,137.734,,110.35,,36.083333333333336,,180378-148GGG,Heavy Naphtha
180444-19,33.672,0.0,79.445,0.0,54.751000000000005,0.0014142135623723,35.083333333333336,0.0,180444-19,Light Naphtha
180444-25,32.98,0.0,70.717,0.0,52.524,0.0056568542494892,36.16666666666666,0.0,180444-25,Light Naphtha
180469-10tyutyt,35.364,0.0,121.359,0.0,65.87133333333334,0.0023094010767541,30.416666666666668,0.0,180469-10tyutyt,Light Naphtha
180525-25tttt,31.346,0.0,172.508,0.0,108.0645,0.0063639610306741,37.13333333333333,0.0,180525-25tttt,Heavy Naphtha
180608-3QQQQQQQQ,34.042,0.0,148.123,0.0,66.08,0.0,34.233333333333334,0.0,180608-3QQQQQQQQ,Light Naphtha
180638-14rrrrrrrr,32.207,0.0,136.708,0.0,70.6005,0.0007071067811899,34.18333333333333,0.0,180638-14rrrrrrrr,Light Naphtha
180640-777,33.075,0.0,144.722,0.0,82.72,0.0,33.71666666666667,0.0,180640-777,Light Naphtha
180690-26ttttt,30.115,0.0,87.234,0.0,57.83,0.0,34.78333333333333,0.0,180690-26ttttt,Light Naphtha
180702-6spksssss,33.498,0.0,151.168,0.0,65.8135,0.0049497474682942,34.666666666666664,0.0,180702-6spksssss,Light Naphtha
180769-14jjjjj,28.321,0.0,75.339,0.0,47.8005,0.0007071067811899,35.28333333333333,0.0,180769-14jjjjj,Light Naphtha
180769-26rrrrrrpp,29.209,0.0,80.023,0.0,48.6605,0.0007071067811899,35.7,0.0,180769-26rrrrrrpp,Light Naphtha
180806-44,35.567,0.0,123.921,0.0,76.924,0.0056568542494942,37.46666666666667,0.0,180806-44,Light Naphtha
180872-55,35.791,0.0,165.233,0.0,70.40350000000001,0.0049497474683043,33.06666666666667,0.0,180872-55,Light Naphtha
180901-8eeeeer,33.465,0.0,127.944,0.0,81.6405,0.0007071067811899,35.166666666666664,0.0,180901-8eeeeer,Light Naphtha
181020-10,27.234,0.0,74.313,0.0,48.034,0.0056568542494892,39.45,0.0,181020-10,Light Naphtha
181038-7&&,31.479,0.0,164.009,0.0,93.9135,0.0049497474683093,33.65,0.0,181038-7&&,Heavy Naphtha
181048-10 ez,27.225,0.0,82.783,0.0,49.2145,0.0063639610306791,34.95,0.0,181048-10 ez,Light Naphtha
181096-31GGG,58.646,0.0,184.596,0.0,85.008,0.0,36.03333333333333,0.0,181096-31GGG,Light Naphtha
181241-13,26.929,0.0,71.679,0.0,47.226,0.0051961524227068,37.1,0.0,181241-13,Light Naphtha
181241-32,27.672,0.0,81.928,0.0,49.294,0.0034641016151368,34.733333333333334,0.0,181241-32,Light Naphtha
181250-44,29.974,2.767094360516099,141.1625,10.486148363436406,71.42399999999999,5.402005997775271,32.541666666666664,0.0273861278752596,181250-44,Light Naphtha
181260-31 ez,28.763,0.0,68.6,0.0,46.58533333333333,0.0046188021535175,34.68333333333333,0.0,181260-31 ez,Light Naphtha
181287-8 ez,33.016,0.0,127.942,0.0,77.26,0.0,34.45,0.0,181287-8 ez,Light Naphtha
181294-27 ez,27.814000000000004,0.0,145.182,0.0,66.176,0.0051961524227068,35.31666666666667,0.0,181294-27 ez,Light Naphtha
181307-1,28.19,0.0,73.904,0.0,48.56333333333333,0.0028867513459455,36.0,0.0,181307-1,Light Naphtha
181478-4wweerr,30.383,0.0,101.57800000000002,0.0,56.79133333333333,0.0023094010767597,35.11666666666667,0.0,181478-4wweerr,Light Naphtha
181599-38b,27.34,0.0,144.261,0.0,77.6305,0.0007071067811899,35.46666666666667,0.0,181599-38b,Light Naphtha
181626-25GGG,32.498,0.0,143.768,0.0,82.75450000000001,0.0063639610306841,33.25,0.0,181626-25GGG,Light Naphtha
181647-14444444cc,27.942,0.0,154.299,0.0,65.54,0.0,34.9,0.0,181647-14444444cc,Light Naphtha
181652-11,28.194,0.0,44.519,0.0,42.8915,0.0021213203435597,35.61666666666667,0.0,181652-11,Light Naphtha
181660-88,28.404,0.0,149.807,0.0,65.49449999999999,0.0063639610306741,32.85,0.0,181660-88,Light Naphtha
181693-6gtttgyu,34.652,0.0,132.737,0.0,91.91,0.0,35.3,0.0,181693-6gtttgyu,Heavy Naphtha
181720-47A,41.787,0.0,139.009,0.0,106.8635,0.0049497474683093,36.35,0.0,181720-47A,Heavy Naphtha
181720-61b,42.139,0.0,140.603,0.0,107.0535,0.0049497474683093,35.5,0.0,181720-61b,Heavy Naphtha
181765-14,26.123,0.0,76.433,0.0,47.5505,0.0007071067811899,33.766666666666666,0.0,181765-14,Light Naphtha
181781-5 ez,26.284,0.0,155.556,0.0,88.873,0.0042426406871194,33.88333333333333,0.0,181781-5 ez,Light Naphtha
181852-36 ez,33.881,0.0,120.703,0.0,83.312,0.0028284271247395,35.583333333333336,0.0,181852-36 ez,Light Naphtha
181928-32uuiiiui,24.152,,174.299,,98.648,,72.08333333333333,,181928-32uuiiiui,Heavy Naphtha
181954-1yyyyiio,30.902,,126.397,,86.509,,36.4,,181954-1yyyyiio,Light Naphtha
182024=21tttyyuu,25.134,,148.631,,65.69,,35.55,,182024=21tttyyuu,Light Naphtha
182043-2peener,32.507,,164.478,,100.92,,29.03333333333333,,182043-2peener,Heavy Naphtha
182077-18rrttr,26.832,,78.976,,47.953,,33.06666666666667,,182077-18rrttr,Light Naphtha
182235-13xxx,28.728,,80.239,,51.002,,33.2,,182235-13xxx,Light Naphtha
182245-5hjhjhj,66.84,,282.572,,215.757,,29.73333333333333,,182245-5hjhjhj,Reformulated Gasoline
182281-18,27.228,,74.046,,48.07,,33.583333333333336,,182281-18,Light Naphtha
182335-399,38.178,0.0,154.25,0.0,88.41533333333332,0.0046188021535226,36.56666666666667,0.0,182335-399,Light Naphtha
182335-8 jgg,44.563,,154.884,,91.86,,36.9,,182335-8 jgg,Heavy Naphtha
182351-9 AN,25.9885,0.5536789081528516,140.438,13.042342580993653,82.31725,15.029871176538183,34.166666666666664,1.000740466595352,182351-9 AN,Light Naphtha
182377-10rrryy,40.325,0.0,121.576,0.0,83.473,0.0042426406871194,35.03333333333333,0.0,182377-10rrryy,Light Naphtha
182386-10,27.102,0.0,74.016,0.0,47.4015,0.0021213203435597,34.63333333333333,0.0,182386-10,Light Naphtha
182387-10,26.3,0.0,81.821,0.0,50.24333333333333,0.0028867513459455,34.5,0.0,182387-10,Light Naphtha
182424-8,29.155,0.0,47.093,0.0,44.72533333333333,0.0046188021535175,34.516666666666666,0.0,182424-8,Light Naphtha
182425-9,26.118,0.0,144.164,0.0,66.83449999999999,0.0063639610306741,33.43333333333333,0.0,182425-9,Light Naphtha
182429-112qqqq,28.909,0.0,129.849,0.0,83.73,0.0,35.93333333333333,0.0,182429-112qqqq,Light Naphtha
182430-7 ks,27.765,0.0,147.714,0.0,66.5835,0.0049497474683093,34.13333333333333,0.0,182430-7 ks,Light Naphtha
182464-14,30.067,,164.201,,79.488,,36.3,,182464-14,Light Naphtha
182464-15,31.62,,126.922,,87.139,,34.25,,182464-15,Light Naphtha
182464-20,30.456,,161.856,,79.161,,37.85,,182464-20,Light Naphtha
182534-8,38.738,,167.449,,95.204,,36.7,,182534-8,Heavy Naphtha
182690-1a,27.486,,44.451,,42.116,,35.583333333333336,,182690-1a,Light Naphtha
