product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
177236-17opt,156.552,0.0,237.806,0.0,204.368,0.0,41.81666666666667,0.0
177236-21ggggg,157.658,0.0,237.75,0.0,204.851,0.0,41.11666666666667,0.0
177252-6,28.003,0.0,52.963,0.0,43.723,0.0,35.516666666666666,0.0
177259_7,43.169,,149.768,,91.133,,35.55,
177291-20,28.043,0.0,74.388,0.0,47.902,0.0,34.766666666666666,0.0
177322-27hhhhh,33.742,0.0,128.229,0.0,76.6748,0.0026832815729995844,34.6,0.0
177427-7,28.655,0.0,51.507,0.0,44.547,0.0,69.4,0.0
"177480-8;,llkkhk",222.481,0.0,341.676,0.0,288.256,0.003999999999993836,38.583333333333336,0.0
177492-110dddd,35.102,0.0,140.417,0.0,99.68450000000001,0.003000000000002482,36.016666666666666,0.0
177492-111ddddd,35.242,0.0,137.662,0.0,98.1015,0.0010000000000047748,36.266666666666666,0.0
177492-20qqqqq,34.864,0.0,132.674,0.0,99.31524999999999,0.003499999999996185,33.516666666666666,0.0
177511+7EEEEE,185.408,0.0,314.746,0.0,254.6045,0.003000000000002482,42.1,0.0
177558-10qqqqq,27.143,0.0,73.679,0.0,46.7748,0.00438178046003736,35.53333333333333,0.0
177593-2GGG,47.351,0.0,303.129,0.0,168.45524999999998,0.003499999999997764,33.28333333333333,0.0
177626-19ttrtr,93.484,0.0,168.216,0.0,135.79525,0.0035000000000032904,39.06666666666667,0.0
177640-1b,36.319,,145.993,,85.11,,34.71666666666667,
177680-666,26.759,0.0,50.838,0.0,42.14675,0.004499999999998987,32.31666666666667,0.0
1777024-6eeeeeee,194.335,,339.661,,285.169,,38.16666666666666,
177712_5ddddd,185.726,0.0,319.997,0.0,255.7615,0.0010000000000095117,42.41666666666666,0.0
177730-6aaaa,39.924,0.0,145.891,0.0,95.5906,0.0005477225575008086,36.016666666666666,0.0
177731-1212,27.154000000000003,0.0,54.77,0.0,43.0542,0.003834057902539146,32.416666666666664,0.0
177744-82b,58.045,0.0,145.391,0.0,112.157,0.0,36.766666666666666,0.0
177750-10222,27.46,0.0,83.794,0.0,49.206,0.0,34.516666666666666,0.0
177756-20,34.657,0.0,154.59,0.0,67.396,0.003999999999998967,34.31666666666667,0.0
177766-1aaaaa,35.545,0.0,157.26,0.0,65.81,0.0,34.63333333333333,0.0
177811-4fff,35.508,0.0,149.422,0.0,81.15,0.0,33.25,0.0
177832-6a,29.337,0.0,66.5,0.0,47.3345,0.0030000000000001137,33.416666666666664,0.0
177843-6a,39.079,0.0,143.308,0.0,115.43525,0.0034999999999942113,33.516666666666666,0.0
177874-5,32.175,0.0,69.557,0.0,51.89,0.0,34.483333333333334,0.0
177952-6,27.785,0.0,70.418,0.0,48.843,0.0019999999999994835,34.11666666666667,0.0
178083-1a,35.149,0.0,134.081,0.0,85.73240000000001,0.001341640786498336,36.18333333333333,0.0
178493-10GGG,36.551,0.0,147.075,0.0,96.37299999999999,0.0019999999999929705,34.88333333333333,0.0
178500-18rrrrr,191.704,,342.183,,285.555,,39.9,
178607-1111,26.339,0.0,48.593,0.0,41.7515,0.00100000000000063,34.1,0.0
178610-8vcx,28.062,0.0,82.494,0.0,49.172666666666665,0.0023094010767561977,36.0,0.0
