short_id,week,instrument_id,test_count,error_count,critical_error_count,error_rate,critical_error_rate,downtime_hours
OD01,2024-11-25,d1786860-8805-4192-af2b-a6f12832ac56,552.0,483.0,202.0,0.875,0.3659420289855072,167.9036111111111
OD01,2024-12-02,d1786860-8805-4192-af2b-a6f12832ac56,535.0,321.0,175.0,0.6,0.3271028037383177,167.76222222222222
OD01,2024-12-09,d1786860-8805-4192-af2b-a6f12832ac56,495.0,429.0,186.0,0.8666666666666667,0.3757575757575757,167.28916666666666
OD01,2024-12-16,d1786860-8805-4192-af2b-a6f12832ac56,469.0,480.0,236.0,1.023454157782516,0.5031982942430704,166.09166666666667
OD01,2024-12-23,d1786860-8805-4192-af2b-a6f12832ac56,585.0,623.0,260.0,1.064957264957265,0.4444444444444444,167.6538888888889
OD01,2024-12-30,d1786860-8805-4192-af2b-a6f12832ac56,636.0,476.0,240.0,0.7484276729559748,0.3773584905660377,167.4963888888889
OD01,2025-01-06,d1786860-8805-4192-af2b-a6f12832ac56,571.0,185.0,98.0,0.3239929947460595,0.1716287215411558,167.87416666666667
OD01,2025-01-13,d1786860-8805-4192-af2b-a6f12832ac56,538.0,285.0,159.0,0.5297397769516728,0.2955390334572491,167.92
OD01,2025-01-20,d1786860-8805-4192-af2b-a6f12832ac56,558.0,540.0,258.0,0.967741935483871,0.4623655913978494,167.67805555555557
OD01,2025-01-27,d1786860-8805-4192-af2b-a6f12832ac56,708.0,1140.0,445.0,1.6101694915254237,0.6285310734463276,167.4736111111111
OD01,2025-02-03,d1786860-8805-4192-af2b-a6f12832ac56,727.0,1104.0,595.0,1.5185694635488307,0.8184319119669876,167.89666666666668
OD01,2025-02-10,d1786860-8805-4192-af2b-a6f12832ac56,632.0,534.0,279.0,0.8449367088607594,0.4414556962025316,167.62055555555557
OD01,2025-02-17,d1786860-8805-4192-af2b-a6f12832ac56,656.0,1126.0,588.0,1.7164634146341464,0.8963414634146342,167.08388888888888
OD01,2025-02-24,d1786860-8805-4192-af2b-a6f12832ac56,698.0,1202.0,455.0,1.7220630372492836,0.6518624641833811,167.6638888888889
OD01,2025-03-03,d1786860-8805-4192-af2b-a6f12832ac56,711.0,2106.0,848.0,2.962025316455696,1.1926863572433193,167.5225
OD01,2025-03-10,d1786860-8805-4192-af2b-a6f12832ac56,581.0,413.0,222.0,0.7108433734939759,0.3820998278829604,167.14111111111112
OD01,2025-03-17,d1786860-8805-4192-af2b-a6f12832ac56,613.0,727.0,382.0,1.1859706362153344,0.6231647634584013,167.74777777777777
