short_id,instrument_id,week,test_count,error_count,critical_error_count,error_rate,critical_error_rate,downtime_hours
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-01-08,77,188,79,2.441558441558441,1.025974025974026,162.07583333333332
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-01-15,65,136,56,2.0923076923076924,0.8615384615384616,163.215
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-01-22,69,132,50,1.9130434782608696,0.7246376811594203,162.5427777777778
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-01-29,85,271,103,3.1882352941176477,1.2117647058823529,156.31805555555556
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-05,74,333,173,4.5,2.3378378378378377,161.52972222222223
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-12,74,351,166,4.743243243243243,2.2432432432432434,165.40444444444444
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-19,61,358,159,5.868852459016393,2.6065573770491803,163.32555555555555
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-26,47,250,116,5.319148936170213,2.4680851063829787,160.89833333333334
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-03-04,54,283,121,5.2407407407407405,2.240740740740741,156.4061111111111
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-03-11,35,201,90,5.742857142857143,2.571428571428572,79.57972222222222
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-03-25,3,0,0,0.0,0.0,2.4472222222222224
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-01,29,72,35,2.4827586206896552,1.206896551724138,159.95638888888888
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-08,7,7,3,1.0,0.4285714285714285,101.47944444444444
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-15,5,0,0,0.0,0.0,30.77083333333333
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-22,1,0,0,0.0,0.0,170.0
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-29,30,3,0,0.1,0.0,156.37
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-05-06,36,0,0,0.0,0.0,93.10666666666668
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-07-15,52,45,18,0.8653846153846154,0.3461538461538461,149.6588888888889
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-07-22,41,26,15,0.6341463414634146,0.3658536585365853,163.145
OD04,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-08-05,22,6,3,0.2727272727272727,0.1363636363636363,158.20333333333335
