merged_product,avg_ibp,avg_fbp,avg_t50
Mixed Xylenes,127.275,129.259,139.288
Monthly ACCX,41.007,153.998,103.136
NAFTA BRASKEM,43.5865,137.8232,101.6177
NAPH,26.044,88.563,48.445
NP 2400,93.435,135.956,124.766
Naphtha,30.382985034013604,87.66078707482994,58.17655963718821
Naphtha HB,49.14535308641975,197.48831934156377,112.48095390946503
P2 SLATE,47.6298275862069,99.6643448275862,76.08155172413792
PARAXYLENE,125.792,126.79,137.215
PSEUDOCUMENE,158.156,158.091,169.131
QC sample,187.709,298.6209,259.5029
QC44,45.796,112.531,104.58
QC444,39.939,152.008,94.367
QCAA,45.958,153.73,106.636
RFG Series,44.45083043478261,144.4524590062112,98.93121532091098
Reformate,117.943,156.374,159.839
TOLUENE   CAL 1,97.93653846153846,98.19407692307692,109.25269230769231
TOLUENE QC,88.61070588235295,111.5269411764706,108.102
TRANS HEAVY,48.523,307.879,181.4675
Toluene for QC,98.82516666666668,103.73383333333334,111.82366666666668
Transmix,50.788125,289.05600000000004,178.88433333333333
Transmix 53.9,48.48107142857143,280.66614285714286,174.40371428571427
WEEK QCB,40.97966666666667,152.80966666666666,100.666
WEEK QCBBBBB,41.969,152.743,102.235
WQC,40.985,150.766,100.9445
WQC-#11 34919x,42.862,148.698,99.643
camin gas qc opti,43.299,149.65066666666667,105.46433333333331
crude,61.859,350.9,239.84100000000004
crude opt,58.75600000000001,354.219,244.037
dqc,39.8725,152.311,98.706
dqc run,41.25333333333334,151.0426666666667,100.27883333333334
natural gas 210,25.932,57.6115,42.63
