merged_product,avg_ibp,avg_fbp,avg_t50
179541-1qQQE,26.301,38.008,39.830666666666666
179552-3a,25.176,126.057,67.12
179562-6a,190.418,317.256,260.80266666666665
179934-9a,27.996,45.607,42.9405
179936-6 ez,28.883,111.634,50.731
179963-11 ez,27.124,82.621,48.684
179972-17ttstfg,26.891,79.033,48.186
179974°8GUKHJ,29.348,109.671,50.0135
179974°8JILK,28.422,99.839,47.7815
180006°4AAAA,32.489,176.689,108.274
180083-14qqqqq,31.936,72.384,51.494
180095_2A,99.017,121.212,120.173
180096_1BAGELS,34.632,185.669,125.533
180129-4a,90.082,150.989,103.429
180131-1spkopt,29.008,139.134,62.031
180167-11,27.217,79.007,48.69533333333334
180190-7wwwwweee,34.431,156.855,66.183
180210-14,32.013,59.045,50.304
180210-22 ez,31.673,60.64000000000001,49.78466666666666
180309-12,41.272,44.237,54.06333333333333
180313-6 ez,215.986,338.982,284.8306666666667
180349--1qqqstu,139.07,283.689,207.85533333333333
180378-148GGG,33.891,137.734,110.35
180444-19,33.672,79.445,54.751000000000005
180444-25,32.98,70.717,52.524
180469-10tyutyt,35.364,121.359,65.87133333333334
180525-25tttt,31.346,172.508,108.0645
180608-3QQQQQQQQ,34.042,148.123,66.08
180638-14rrrrrrrr,32.207,136.708,70.6005
180640-777,33.075,144.722,82.72
180690-26ttttt,30.115,87.234,57.83
180702-6spksssss,33.498,151.168,65.8135
180769-14jjjjj,28.321,75.339,47.8005
180769-26rrrrrrpp,29.209,80.023,48.6605
180806-44,35.567,123.921,76.924
180872-55,35.791,165.233,70.40350000000001
180901-8eeeeer,33.465,127.944,81.6405
181020-10,27.234,74.313,48.034
181038-7&&,31.479,164.009,93.9135
181048-10 ez,27.225,82.783,49.2145
181096-31GGG,58.646,184.596,85.008
181241-13,26.929,71.679,47.226
181241-32,27.672,81.928,49.294
181250-44,29.974,141.1625,71.42399999999999
181260-31 ez,28.763,68.6,46.58533333333333
181287-8 ez,33.016,127.942,77.26
181294-27 ez,27.814000000000004,145.182,66.176
181307-1,28.19,73.904,48.56333333333333
181478-4wweerr,30.383,101.57800000000002,56.79133333333333
181599-38b,27.34,144.261,77.6305
181626-25GGG,32.498,143.768,82.75450000000001
181647-14444444cc,27.942,154.299,65.54
181652-11,28.194,44.519,42.8915
181660-88,28.404,149.807,65.49449999999999
181693-6gtttgyu,34.652,132.737,91.91
181720-47A,41.787,139.009,106.8635
181720-61b,42.139,140.603,107.0535
181765-14,26.123,76.433,47.5505
181781-5 ez,26.284,155.556,88.873
181852-36 ez,33.881,120.703,83.312
181928-32uuiiiui,24.152,174.299,98.648
181954-1yyyyiio,30.902,126.397,86.509
182024=21tttyyuu,25.134,148.631,65.69
182043-2peener,32.507,164.478,100.92
182077-18rrttr,26.832,78.976,47.953
182235-13xxx,28.728,80.239,51.002
182245-5hjhjhj,66.84,282.572,215.757
182281-18,27.228,74.046,48.07
182335-399,38.178,154.25,88.41533333333332
