instrument_type,site_name,short_id,operator
OptiFlash,PAC-DEU-LAUDA,OF06,AM
OptiFlash,PAC-DEU-LAUDA,OF06,CL
OptiFlash,PAC-DEU-LAUDA,OF06,JAVIER
OptiFlash,PAC-DEU-LAUDA,OF06,JV
OptiFlash,PAC-DEU-LAUDA,OF06,KL
OptiFlash,PAC-DEU-LAUDA,OF06,MAV
OptiFlash,PAC-DEU-LAUDA,OF06,Mary C.
OptiFlash,PAC-DEU-LAUDA,OF06,VD
OptiFlash,PAC-Houston Site,OF11,PAC
OptiFlash,Pasadena,OF10,LB
OptiFlash,Pasadena,OF12,cm
OptiFlash,SGS-China site 1,OF05,Jxf
OptiMPP,PAC-DEU-LAUDA,MPP01,
OptiMPP,PAC-Houston Site,MPP02,
,,,
