instrument_id,instrument_type,test_count,error_count,critical_error_count,error_rate,critical_error_rate,short_id
055dc39a-2794-458a-8e8c-464646a22267,OptiFlash,3,2,0,0.6666666666666666,0.0,OF10
0889e4ec-1473-4d57-a5cb-df61853edf03,OptiDist,1486,2273,1051,1.5296096904441454,0.7072678331090175,OD06
0aa8fd0d-019e-422b-bcfb-6f0803909220,OptiDist,1964,4125,1880,2.10030549898167,0.9572301425661914,OD04
0d0a979d-eb25-4357-9b6f-243b3a93fab9,OptiFlash,198,55,0,0.2777777777777778,0.0,OF02
104fd04f-01f7-4ae2-8e7a-ce353fba1579,OptiFlash,1359,21,0,0.01545253863134658,0.0,OF05
1114da92-0859-4dfb-a363-26447dc0f84d,OptiDist,2922,324,133,0.11088295687885011,0.04551676933607118,OD13
1acf7c8e-561e-4d91-a35d-9182cd38a043,OptiFlash,2,1,0,0.5,0.0,OF12
1d9b44f3-2f01-4dcb-82f2-7bd331a8dc55,OptiFlash,431,35,0,0.08120649651972157,0.0,OF03
2618baab-9161-4b0e-a67a-5a0be28e71ff,OptiDist,1070,254,107,0.23738317757009345,0.1,OD17
2c08e260-ad0e-4abd-8946-704e91559557,OptiFlash,91,12,0,0.13186813186813187,0.0,OF08
2df7e68d-32af-450d-a6ca-b82653d76940,OptiDist,88,3,0,0.03409090909090909,0.0,OD23
2ed1d374-7800-48a8-9a5e-dca96443823a,OptiDist,7682,7392,3387,0.9622494142150482,0.4409008070814892,OD03
31918705-0179-47c5-ba12-afb2366af552,OptiDist,120,294,204,2.45,1.7,OD15
333b4d1f-edbc-4cdf-b651-e2c159f1a3db,OptiDist,506,6,4,0.011857707509881422,0.007905138339920948,OD21
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,OptiDist,816,1111,524,1.3615196078431373,0.6421568627450981,OD09
3496d2f1-d22c-4621-9f6b-2dbca40d015c,OptiMPP,417,0,0,0.0,0.0,MPP03
40099742-8937-46e4-9d96-9ea230115e6b,OptiCPP,699,5,5,0.00715307582260372,0.00715307582260372,CPP02
440b6470-efce-479e-be17-8d0f6792e339,OptiCPP,618,4,4,0.006472491909385114,0.006472491909385114,CPP03
4a85fc29-5ce7-4e90-b870-7d3001d2ce75,OptiMPP,55,2,2,0.03636363636363636,0.03636363636363636,MPP02
5064f4b6-85f1-41d9-8562-ae9948202868,OptiDist,749,604,406,0.8064085447263017,0.5420560747663551,OD12
51ffd6e3-27f9-462e-af2f-6baddaa288ec,OptiMPP,956,45,45,0.04707112970711297,0.04707112970711297,MPP01
5847907c-3596-45ae-a76f-97db77d8cb94,OptiFlash,26,2,0,0.07692307692307693,0.0,OF11
62548191-5d9a-41c7-aae5-5788aec74ee4,OptiDist,887,818,545,0.9222096956031567,0.6144306651634723,OD11
6569bd0e-0e3b-4c4d-85f7-de9989d851de,OptiDist,481,103,30,0.21413721413721415,0.062370062370062374,OD20
6befda03-748b-44fd-8195-0315b54159a9,OptiFlash,1845,25,0,0.013550135501355014,0.0,OF04
6eef081e-3730-4f4a-a382-a6c5a991b25f,OptiPMD,33,0,0,0.0,0.0,PMD01
731f339c-0327-4a22-9df3-3324da5ac628,OptiDist,14684,10205,4762,0.6949741214927813,0.3242985562517025,OD02
7f33271c-1569-4840-a04c-8ad769055b74,OptiDist,471,295,203,0.6263269639065817,0.4309978768577495,OD14
8ffe5bf8-31fa-406b-a818-4a654628686d,OptiPMD,27,0,0,0.0,0.0,PMD02
92326ee8-3704-4d95-860a-288c627e35f7,OptiDist,1754,217,81,0.12371721778791334,0.046180159635119726,OD18
942706ef-836a-4464-bc76-74aa97b76f8b,OptiDist,990,1545,693,1.5606060606060606,0.7,OD07
9fd6c3a0-a77e-4ec1-9ae9-8f4b381aeb38,OptiFPP,140,0,0,0.0,0.0,FPP02
b1874761-53e7-4fa7-ab56-652c3ae0e502,OptiFlash,5219,513,0,0.09829469246982181,0.0,OF01
b2ad9c3f-39e0-4613-b2cc-9c3085d1b8ba,OptiDist,67,145,63,2.1641791044776117,0.9402985074626866,OD19
ba5afa1a-6e39-4c93-a3a4-20274836bdd4,OptiCPP,1469,17,17,0.011572498298162015,0.011572498298162015,CPP01
ba5afa1a-6e39-4c93-a3a4-20274836ffd4,OptiFPP,5599,43,43,0.007679942846936953,0.007679942846936953,FPP01
c0983ff3-7d72-4887-b98f-c6801a6c466d,OptiDist,802,1477,643,1.841645885286783,0.8017456359102244,OD08
ccb19ec8-2711-4d72-a960-640432c04b74,OptiFlash,3201,19,0,0.005935645110902843,0.0,OF06
d1786860-8805-4192-af2b-a6f12832ac56,OptiDist,20184,17679,7989,0.8758917954815696,0.39580856123662306,OD01
d6357a57-755c-45fd-82a7-22e62ec5d434,OptiDist,45,5,3,0.1111111111111111,0.06666666666666667,OD22
d9680145-4a1f-48a8-9ad3-52e904efc45e,OptiDist,204,290,124,1.4215686274509804,0.6078431372549019,OD16
dcebb255-f4da-4961-9a38-287caa70c439,OptiFlash,469,14,0,0.029850746268656716,0.0,OF07
e1326398-e01a-445f-9caa-c175da8ac7d3,OptiDist,803,1104,510,1.3748443337484433,0.635118306351183,OD10
ed9e17d0-749c-41e4-8715-2d949a7741f6,OptiFZP,211,0,0,0.0,0.0,FZP01
ef99dd6f-0d62-4d64-a6fe-a7a475e08f55,OptiCPP,228,0,0,0.0,0.0,CPP04
f17a6cda-cfb5-4b76-beb2-ab68c0cdd166,OptiDist,1632,2979,1340,1.8253676470588236,0.821078431372549,OD05
