short_id,instrument_id,week,test_count,error_count,critical_error_count,error_rate,critical_error_rate,downtime_hours
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-01-22,69,132,50,1.9130434782608696,0.7246376811594203,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-01-29,85,271,103,3.188235294117648,1.2117647058823529,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-05,74,333,173,4.5,2.3378378378378377,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-12,74,351,166,4.743243243243243,2.2432432432432434,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-19,61,358,159,5.868852459016393,2.6065573770491803,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-02-26,47,250,116,5.319148936170213,2.4680851063829787,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-03-04,54,283,121,5.2407407407407405,2.240740740740741,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-03-11,35,201,90,5.742857142857143,2.571428571428572,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-03-25,3,0,0,0.0,0.0,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-01,29,72,35,2.4827586206896552,1.206896551724138,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-08,7,7,3,1.0,0.4285714285714285,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-15,5,0,0,0.0,0.0,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-22,1,0,0,0.0,0.0,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-04-29,30,3,0,0.1,0.0,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-05-06,36,0,0,0.0,0.0,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-07-15,52,45,18,0.8653846153846154,0.3461538461538461,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-07-22,41,26,15,0.6341463414634146,0.3658536585365853,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-08-05,22,6,3,0.2727272727272727,0.1363636363636363,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-08-12,63,167,102,2.6507936507936507,1.619047619047619,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-08-19,57,112,34,1.9649122807017545,0.5964912280701754,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-08-26,74,192,100,2.5945945945945947,1.351351351351351,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-09-02,57,123,69,2.1578947368421053,1.2105263157894737,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-09-09,63,138,52,2.1904761904761907,0.8253968253968254,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-09-16,54,105,53,1.9444444444444444,0.9814814814814816,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-09-23,58,77,35,1.3275862068965518,0.603448275862069,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-09-30,3,0,0,0.0,0.0,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2024-10-14,53,3,1,0.0566037735849056,0.0188679245283018,170.0
OD10,0aa8fd0d-019e-422b-bcfb-6f0803909220,2025-02-17,3,0,0,0.0,0.0,170.0
,0d0a979d-eb25-4357-9b6f-243b3a93fab9,2023-11-27,39,13,0,0.3333333333333333,0.0,170.0
,0d0a979d-eb25-4357-9b6f-243b3a93fab9,2023-12-04,58,27,0,0.4655172413793103,0.0,170.0
,0d0a979d-eb25-4357-9b6f-243b3a93fab9,2023-12-11,64,15,0,0.234375,0.0,170.0
,0d0a979d-eb25-4357-9b6f-243b3a93fab9,2024-01-15,10,0,0,0.0,0.0,170.0
,0d0a979d-eb25-4357-9b6f-243b3a93fab9,2024-01-22,27,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-10-30,373,5,0,0.0134048257372654,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-11-06,176,1,0,0.0056818181818181,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-11-13,35,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-11-20,51,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-11-27,39,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-12-04,69,3,0,0.0434782608695652,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-12-11,66,1,0,0.0151515151515151,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-12-18,65,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2023-12-25,45,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-01-01,35,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-01-08,39,2,0,0.0512820512820512,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-01-15,36,1,0,0.0277777777777777,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-01-22,31,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-01-29,53,1,0,0.0188679245283018,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-02-05,54,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-02-12,21,3,0,0.1428571428571428,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-02-19,39,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-02-26,35,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-03-04,43,1,0,0.0232558139534883,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-03-11,42,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-03-18,6,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-04-22,1,0,0,0.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-06-03,1,1,0,1.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-06-17,1,1,0,1.0,0.0,170.0
OF05,104fd04f-01f7-4ae2-8e7a-ce353fba1579,2024-06-24,3,1,0,0.3333333333333333,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-10-02,21,10,6,0.4761904761904761,0.2857142857142857,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-10-09,21,15,4,0.7142857142857143,0.1904761904761904,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-10-16,29,8,2,0.2758620689655172,0.0689655172413793,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-10-23,33,20,5,0.6060606060606061,0.1515151515151515,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-10-30,37,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-11-06,41,45,9,1.0975609756097562,0.2195121951219512,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-11-13,14,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-11-20,10,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-11-27,15,7,3,0.4666666666666667,0.2,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-12-04,28,14,6,0.5,0.2142857142857142,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-12-11,27,4,2,0.1481481481481481,0.074074074074074,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-12-18,34,4,1,0.1176470588235294,0.0294117647058823,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2023-12-25,44,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-01-01,36,8,4,0.2222222222222222,0.1111111111111111,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-01-08,49,45,23,0.9183673469387756,0.4693877551020408,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-01-15,43,12,8,0.2790697674418604,0.1860465116279069,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-01-22,39,10,7,0.2564102564102564,0.1794871794871795,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-01-29,46,2,1,0.0434782608695652,0.0217391304347826,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-02-05,24,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-02-26,15,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-04-01,55,12,7,0.2181818181818181,0.1272727272727272,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-04-08,13,4,2,0.3076923076923077,0.1538461538461538,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-05-27,24,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-06-03,59,17,14,0.288135593220339,0.2372881355932203,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-06-10,59,12,8,0.2033898305084746,0.135593220338983,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-06-17,49,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-06-24,45,10,4,0.2222222222222222,0.0888888888888888,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-07-01,50,8,1,0.16,0.02,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-07-08,48,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-07-15,54,8,0,0.1481481481481481,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-07-22,49,6,0,0.1224489795918367,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-07-29,50,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-08-05,64,5,2,0.078125,0.03125,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-08-12,76,0,0,0.0,0.0,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-08-19,83,8,3,0.0963855421686747,0.036144578313253,170.0
OD13,1114da92-0859-4dfb-a363-26447dc0f84d,2024-08-26,86,0,0,0.0,0.0,170.0
