short_id,week,instrument_id,test_count_x,error_count_x,critical_error_count_x,error_rate,critical_error_rate,downtime_hours,test_count_y,error_count_y,critical_error_count_y,test_count,error_count,critical_error_count
CPP01,2025-03-17,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,54.0,0.0,0.0,,,157.83833333333334,,,,0,0,0
CPP01,2025-03-24,ba5afa1a-6e39-4c93-a3a4-20274836bdd4,36.0,1.0,1.0,,,109.39888888888888,1.0,,1.0,0,0,0
CPP02,2024-04-15,40099742-8937-46e4-9d96-9ea230115e6b,39.0,1.0,1.0,,,95.64333333333332,1.0,,1.0,0,0,0
CPP02,2024-04-22,40099742-8937-46e4-9d96-9ea230115e6b,43.0,0.0,0.0,,,139.8775,,,,0,0,0
CPP02,2024-04-29,40099742-8937-46e4-9d96-9ea230115e6b,52.0,1.0,1.0,,,159.42166666666665,1.0,,1.0,0,0,0
CPP02,2024-05-06,40099742-8937-46e4-9d96-9ea230115e6b,53.0,1.0,1.0,,,165.28222222222223,1.0,,1.0,0,0,0
CPP02,2024-05-13,40099742-8937-46e4-9d96-9ea230115e6b,41.0,1.0,1.0,,,159.79305555555555,1.0,,1.0,0,0,0
CPP02,2024-05-20,40099742-8937-46e4-9d96-9ea230115e6b,34.0,0.0,0.0,,,137.8738888888889,,,,0,0,0
CPP02,2024-05-27,40099742-8937-46e4-9d96-9ea230115e6b,10.0,0.0,0.0,,,27.197777777777777,,,,0,0,0
CPP02,2024-06-03,40099742-8937-46e4-9d96-9ea230115e6b,52.0,0.0,0.0,,,161.1327777777778,,,,0,0,0
CPP02,2024-06-10,40099742-8937-46e4-9d96-9ea230115e6b,52.0,0.0,0.0,,,163.39833333333334,,,,0,0,0
CPP02,2024-06-17,40099742-8937-46e4-9d96-9ea230115e6b,50.0,0.0,0.0,,,164.65333333333334,,,,0,0,0
CPP02,2024-06-24,40099742-8937-46e4-9d96-9ea230115e6b,11.0,0.0,0.0,,,28.87444444444445,,,,0,0,0
CPP02,2024-07-01,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-07-08,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-07-15,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-07-22,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-07-29,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-08-05,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-08-12,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-08-19,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-08-26,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-09-02,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-09-09,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-09-16,,0.0,0.0,0.0,,,170.0,,,,0,0,0
CPP02,2024-09-23,40099742-8937-46e4-9d96-9ea230115e6b,6.0,0.0,0.0,,,12.989166666666666,,,,0,0,0
CPP02,2024-09-30,40099742-8937-46e4-9d96-9ea230115e6b,46.0,0.0,0.0,,,158.0211111111111,,,,0,0,0
