product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_test_duration,std_test_duration,category
181020-10,27.234,0.0,74.313,0.0,39.45,0.0,Unknown/Needs Review
181048-10 ez,27.225,0.0,82.783,0.0,34.95,0.0,Unknown/Needs Review
181241-13,26.929,0.0,71.679,0.0,37.1,0.0,Unknown/Needs Review
181241-32,27.672,0.0,81.928,0.0,34.733333333333334,0.0,Unknown/Needs Review
181250-44,29.974,2.767094360516099,141.1625,10.486148363436406,32.541666666666664,0.0273861278752596,Unknown/Needs Review
181260-31 ez,28.763,0.0,68.6,0.0,34.68333333333333,0.0,Unknown/Needs Review
181294-27 ez,27.814000000000004,0.0,145.182,0.0,35.31666666666667,0.0,Unknown/Needs Review
181307-1,28.19,0.0,73.904,0.0,36.0,0.0,Unknown/Needs Review
181599-38b,27.34,0.0,144.261,0.0,35.46666666666667,0.0,Unknown/Needs Review
181647-14444444cc,27.942,0.0,154.299,0.0,34.9,0.0,Unknown/Needs Review
181652-11,28.194,0.0,44.519,0.0,35.61666666666667,0.0,Unknown/Needs Review
181660-88,28.404,0.0,149.807,0.0,32.85,0.0,Unknown/Needs Review
181765-14,26.123,0.0,76.433,0.0,33.766666666666666,0.0,Unknown/Needs Review
181781-5 ez,26.284,0.0,155.556,0.0,33.88333333333333,0.0,Unknown/Needs Review
181928-32uuiiiui,24.152,,174.299,,72.08333333333333,,Unknown/Needs Review
182024=21tttyyuu,25.134,,148.631,,35.55,,Unknown/Needs Review
182077-18rrttr,26.832,,78.976,,33.06666666666667,,Unknown/Needs Review
182235-13xxx,28.728,,80.239,,33.2,,Unknown/Needs Review
182245-5hjhjhj,66.84,,282.572,,29.73333333333333,,Unknown/Needs Review
182281-18,27.228,,74.046,,33.583333333333336,,Unknown/Needs Review
182351-9 AN,25.9885,0.5536789081528516,140.438,13.042342580993653,34.166666666666664,1.000740466595352,Unknown/Needs Review
182386-10,27.102,0.0,74.016,0.0,34.63333333333333,0.0,Unknown/Needs Review
182387-10,26.3,0.0,81.821,0.0,34.5,0.0,Unknown/Needs Review
182424-8,29.155,0.0,47.093,0.0,34.516666666666666,0.0,Unknown/Needs Review
182425-9,26.118,0.0,144.164,0.0,33.43333333333333,0.0,Unknown/Needs Review
182429-112qqqq,28.909,0.0,129.849,0.0,35.93333333333333,0.0,Unknown/Needs Review
182430-7 ks,27.765,0.0,147.714,0.0,34.13333333333333,0.0,Unknown/Needs Review
182690-1a,27.486,,44.451,,35.583333333333336,,Unknown/Needs Review
182786-3B,17.948,,138.515,,34.68333333333333,,Unknown/Needs Review
183005-11,26.553,,72.378,,36.05,,Unknown/Needs Review
183112-8rrttty,25.368,,149.695,,31.966666666666665,,Unknown/Needs Review
183115-19,24.345,,83.023,,36.18333333333333,,Unknown/Needs Review
183159-7,27.201,,43.042,,35.31666666666667,,Unknown/Needs Review
183215-12opt,23.126,,161.201,,31.83333333333333,,Unknown/Needs Review
183506-1,27.066,,42.137,,36.3,,Unknown/Needs Review
183535-14,28.224,,146.848,,35.25,,Unknown/Needs Review
183542-6qqqwwee,25.515,,150.922,,33.583333333333336,,Unknown/Needs Review
183732-9,27.095,,73.932,,36.53333333333333,,Unknown/Needs Review
183767-6,24.552333333333333,1.222383873148422,90.19333333333331,57.595454736752735,33.82222222222222,1.4166013056817566,Unknown/Needs Review
184016-10 ez,20.006,,157.22,,33.65,,Unknown/Needs Review
184016-11bbbb,22.004,,152.708,,34.63333333333333,,Unknown/Needs Review
184016-8 10%opt,22.82,,160.555,,34.36666666666667,,Unknown/Needs Review
184016-9 opt,24.886,,159.944,,32.85,,Unknown/Needs Review
184247-7GGG,24.395,,149.852,,33.7,,Unknown/Needs Review
184271-24,26.79,,73.432,,34.93333333333333,,Unknown/Needs Review
184324-15 ez,26.205,,160.267,,34.28333333333333,,Unknown/Needs Review
184418-2 opppppp,27.486,,76.499,,32.766666666666666,,Unknown/Needs Review
184530-6GGG,21.612,,164.206,,33.05,,Unknown/Needs Review
184580-6,23.923,,150.971,,34.81666666666667,,Unknown/Needs Review
184678-2,26.019,,152.701,,35.9,,Unknown/Needs Review
184680-007,29.811,,30.856,,14.733333333333333,,Unknown/Needs Review
184719-14 ez,24.789,,145.373,,35.43333333333333,,Unknown/Needs Review
184845-18 ez,27.053,,151.885,,35.06666666666667,,Unknown/Needs Review
184853-1 ez,28.448,,48.546,,33.083333333333336,,Unknown/Needs Review
184863-1 ez,29.946,,126.585,,38.05,,Unknown/Needs Review
185000-1,26.742,,69.831,,35.7,,Unknown/Needs Review
185120-10a,26.605,,75.009,,37.25,,Unknown/Needs Review
185425-9a,29.457,0.0,152.641,0.0,34.35,0.0,Unknown/Needs Review
185465-6a,27.158,0.0,160.094,0.0,32.5,0.0,Unknown/Needs Review
185498-22a,24.265,,155.715,,33.38333333333333,,Unknown/Needs Review
1855-1 OPT,27.356,,149.356,,33.21666666666667,,Unknown/Needs Review
185599-1a,25.345,,155.084,,34.0,,Unknown/Needs Review
185642-8a,26.86,0.0,155.679,0.0,35.45,0.0,Unknown/Needs Review
185725-7 ez,26.895,,71.796,,35.31666666666667,,Unknown/Needs Review
185745-6bj,28.262,0.0,63.69100000000001,0.0,35.61666666666667,0.0,Unknown/Needs Review
185834-6,25.256,,69.709,,34.21666666666667,,Unknown/Needs Review
185947-2aa,23.878,,101.559,,34.1,,Unknown/Needs Review
186256-21a,26.698,,160.43,,31.23333333333333,,Unknown/Needs Review
1864-1a,22.689,0.0,148.644,0.0,33.06666666666667,0.0,Unknown/Needs Review
186422-9 ez,27.4,,69.331,,34.11666666666667,,Unknown/Needs Review
186479-22 ez,28.194,0.0,157.788,0.0,34.21666666666667,0.0,Unknown/Needs Review
186492-1opt,29.449,,47.138,,32.733333333333334,,Unknown/Needs Review
186610-6 10% ez,26.34,0.0,140.252,0.0,36.05,0.0,Unknown/Needs Review
186907-1GGG,43.202,,297.264,,33.45,,Unknown/Needs Review
186929_1A,25.875,0.0,38.074,0.0,33.483333333333334,0.0,Unknown/Needs Review
188090-13 ez,28.332,,81.808,,32.85,,Unknown/Needs Review
1891611-44,25.479,,37.722,,34.7,,Unknown/Needs Review
189261-7optt,27.643,,72.529,,35.766666666666666,,Unknown/Needs Review
189390-1x,26.986,,69.392,,34.266666666666666,,Unknown/Needs Review
189411-1GGG,41.746,,303.294,,32.916666666666664,,Unknown/Needs Review
189446-11qwqw,26.957,,71.251,,33.93333333333333,,Unknown/Needs Review
189519-288,26.832,,64.284,,34.233333333333334,,Unknown/Needs Review
189524-15a,26.118,,49.313,,36.083333333333336,,Unknown/Needs Review
189524-9a,26.029,,49.003,,35.583333333333336,,Unknown/Needs Review
189545-13b,27.192,,74.575,,32.9,,Unknown/Needs Review
189545-33 ez,27.338,,77.694,,35.483333333333334,,Unknown/Needs Review
189566-1x,25.82,,40.539,,35.86666666666667,,Unknown/Needs Review
189571-1OPTT,27.312,,60.036,,32.3,,Unknown/Needs Review
189777-22,24.634,,35.463,,35.233333333333334,,Unknown/Needs Review
189778-6a,26.293,,43.319,,37.016666666666666,,Unknown/Needs Review
190043-8a,27.146,,73.022,,34.53333333333333,,Unknown/Needs Review
190280-8x,27.964,,69.718,,39.25,,Unknown/Needs Review
190447-10opptt,29.543,,81.652,,35.1,,Unknown/Needs Review
190606-4x,28.407,,79.373,,35.61666666666667,,Unknown/Needs Review
190691-26 ez,27.855,,77.848,,32.7,,Unknown/Needs Review
190993-11zzz,28.171,,76.886,,32.4,,Unknown/Needs Review
191216-196optwww,27.793,,77.724,,36.0,,Unknown/Needs Review
191304-12A,149.788,,156.224,,37.35,,Unknown/Needs Review
191322-17x,27.5,,74.524,,34.3,,Unknown/Needs Review
191331-13 opppp,27.93,,79.211,,33.5,,Unknown/Needs Review
191403-6 ez,26.718,,65.315,,34.71666666666667,,Unknown/Needs Review
191467-17OPTTTT,27.71,,81.779,,36.21666666666667,,Unknown/Needs Review
191506-77,27.044,,79.99,,38.55,,Unknown/Needs Review
191579-49CCC,114.898,0.0,134.382,0.0,39.81666666666667,0.0,Unknown/Needs Review
191711-19,27.759,,77.363,,33.333333333333336,,Unknown/Needs Review
191764-6otyppp,28.178,,84.591,,33.35,,Unknown/Needs Review
191829-122,28.293,,87.836,,30.066666666666663,,Unknown/Needs Review
191947-18 opppppp,28.586,,76.41,,34.88333333333333,,Unknown/Needs Review
192178-2x,27.487,,167.207,,37.06666666666667,,Unknown/Needs Review
192208-6,27.837,,75.825,,32.18333333333333,,Unknown/Needs Review
192216-7leo,27.566,,75.62,,34.18333333333333,,Unknown/Needs Review
192217-12x,27.421,,79.78,,32.55,,Unknown/Needs Review
192217-6AAA,27.075,,79.056,,31.98333333333333,,Unknown/Needs Review
192329-9,28.246,,78.723,,32.18333333333333,,Unknown/Needs Review
192520-1,99.385,,100.123,,24.8,,Unknown/Needs Review
192558-6opt<<<,29.217,,90.391,,35.416666666666664,,Unknown/Needs Review
192574-19opttt<<,27.472,,76.909,,35.68333333333333,,Unknown/Needs Review
192595-5 deeeeeeee,37.33,3.6104872247385154,290.426,0.8796408357960851,35.108333333333334,0.2239171473757373,Unknown/Needs Review
192765-4GGG,65.892,,280.951,,30.416666666666668,,Unknown/Needs Review
192830-19opt==,27.524,,76.733,,36.03333333333333,,Unknown/Needs Review
193031-6 ez,116.756,,132.483,,39.833333333333336,,Unknown/Needs Review
193087-6GGG,29.012,,88.124,,36.3,,Unknown/Needs Review
193165-11 ez,27.638,,77.199,,31.83333333333333,,Unknown/Needs Review
193433-10opt[],28.337,,75.964,,38.11666666666667,,Unknown/Needs Review
193477-13opt==,27.937,,73.961,,35.666666666666664,,Unknown/Needs Review
193505-9 oppppp,27.631,,75.034,,35.93333333333333,,Unknown/Needs Review
193566-6 so,28.782,,69.271,,32.13333333333333,,Unknown/Needs Review
193640-14AAA,124.901,,126.486,,38.55,,Unknown/Needs Review
194100-6 ez,28.459,,134.839,,35.083333333333336,,Unknown/Needs Review
194126-116opt==,28.776,,86.238,,34.06666666666667,,Unknown/Needs Review
194130-19opt==,27.832,,72.498,,37.0,,Unknown/Needs Review
194133-18AAA,27.117,,75.492,,32.516666666666666,,Unknown/Needs Review
194211-146AAA,23.421,,125.844,,34.05,,Unknown/Needs Review
194396-6opty<<,27.859,,76.097,,34.8,,Unknown/Needs Review
194397-7optt==,28.792,,135.459,,35.15,,Unknown/Needs Review
194504-16opt;;,27.737,,78.775,,36.66666666666666,,Unknown/Needs Review
194546-6AAA,29.533,,136.611,,34.68333333333333,,Unknown/Needs Review
194746-7opt==,27.74,,73.44,,33.233333333333334,,Unknown/Needs Review
194796-1 oppppp,24.512,,32.933,,36.38333333333333,,Unknown/Needs Review
194819-6.10%aaa,25.253,,69.549,,31.1,,Unknown/Needs Review
2198-1wwrtv,27.717,0.0,159.04,0.0,32.9,0.0,Unknown/Needs Review
2275-1a,26.352,,154.323,,33.03333333333333,,Unknown/Needs Review
2290-1a,25.116,,165.515,,33.8,,Unknown/Needs Review
2297-1,27.639,0.0,142.034,0.0,35.05,0.0,Unknown/Needs Review
240 CUT,27.218,,74.788,,29.73333333333333,,Unknown/Needs Review
650°F cut,69.21549999999999,0.0445477272147592,266.127,14.98076426621822,2187.241666666667,126.8196012058074,Unknown/Needs Review
CAMIN 10% RESIDUE,175.6665,46.57234181050257,299.859375,16.510472052934002,33.71458333333333,4.338114921417893,Unknown/Needs Review
